"","ï..country","year","sex","age","suicides_no","population","suicides.100k.pop","country.year","HDI.for.year","gdp_for_year....","gdp_per_capita....","generation"
"49","Australia",2004,"male","25-34 years",386,1441319,26.78,"Australia2004",NA,"611,904,253,806",32454,"Generation X"
"50","Australia",2004,"male","75+ years",126,489016,25.77,"Australia2004",NA,"611,904,253,806",32454,"Silent"
"51","Australia",2004,"male","35-54 years",655,2868425,22.83,"Australia2004",NA,"611,904,253,806",32454,"Boomers"
"52","Australia",2004,"male","55-74 years",293,1721736,17.02,"Australia2004",NA,"611,904,253,806",32454,"Silent"
"53","Australia",2004,"male","15-24 years",205,1420482,14.43,"Australia2004",NA,"611,904,253,806",32454,"Millenials"
"54","Australia",2004,"female","35-54 years",183,2902618,6.3,"Australia2004",NA,"611,904,253,806",32454,"Boomers"
"55","Australia",2004,"female","25-34 years",82,1446557,5.67,"Australia2004",NA,"611,904,253,806",32454,"Generation X"
"56","Australia",2004,"female","75+ years",40,726532,5.51,"Australia2004",NA,"611,904,253,806",32454,"Silent"
"57","Australia",2004,"female","15-24 years",67,1364452,4.91,"Australia2004",NA,"611,904,253,806",32454,"Millenials"
"58","Australia",2004,"female","55-74 years",69,1741477,3.96,"Australia2004",NA,"611,904,253,806",32454,"Silent"
"59","Australia",2004,"male","5-14 years",7,1402222,0.5,"Australia2004",NA,"611,904,253,806",32454,"Millenials"
"60","Australia",2004,"female","5-14 years",1,1329715,0.08,"Australia2004",NA,"611,904,253,806",32454,"Millenials"
"61","Australia",2006,"male","35-54 years",686,2894571,23.7,"Australia2006",NA,"745,521,862,833",39014,"Boomers"
"62","Australia",2006,"male","75+ years",114,506926,22.49,"Australia2006",NA,"745,521,862,833",39014,"Silent"
"63","Australia",2006,"male","25-34 years",277,1442942,19.2,"Australia2006",NA,"745,521,862,833",39014,"Generation X"
"64","Australia",2006,"male","55-74 years",309,1772439,17.43,"Australia2006",NA,"745,521,862,833",39014,"Silent"
"65","Australia",2006,"male","15-24 years",230,1446866,15.9,"Australia2006",NA,"745,521,862,833",39014,"Millenials"
"66","Australia",2006,"female","35-54 years",195,2934459,6.65,"Australia2006",NA,"745,521,862,833",39014,"Boomers"
"67","Australia",2006,"female","55-74 years",115,1798232,6.4,"Australia2006",NA,"745,521,862,833",39014,"Silent"
"68","Australia",2006,"female","75+ years",41,743060,5.52,"Australia2006",NA,"745,521,862,833",39014,"Silent"
"69","Australia",2006,"female","25-34 years",74,1444570,5.12,"Australia2006",NA,"745,521,862,833",39014,"Generation X"
"70","Australia",2006,"female","15-24 years",68,1388615,4.9,"Australia2006",NA,"745,521,862,833",39014,"Millenials"
"71","Australia",2006,"male","5-14 years",7,1404186,0.5,"Australia2006",NA,"745,521,862,833",39014,"Millenials"
"72","Australia",2006,"female","5-14 years",1,1332380,0.08,"Australia2006",NA,"745,521,862,833",39014,"Millenials"
"73","Australia",2007,"male","25-34 years",341,1470431,23.19,"Australia2007",NA,"851,962,785,585",43171,"Generation X"
"74","Australia",2007,"male","35-54 years",687,2977977,23.07,"Australia2007",NA,"851,962,785,585",43171,"Boomers"
"75","Australia",2007,"male","75+ years",124,539184,23,"Australia2007",NA,"851,962,785,585",43171,"Silent"
"76","Australia",2007,"male","55-74 years",305,1877160,16.25,"Australia2007",NA,"851,962,785,585",43171,"Silent"
"77","Australia",2007,"male","15-24 years",234,1515524,15.44,"Australia2007",NA,"851,962,785,585",43171,"Millenials"
"78","Australia",2007,"female","35-54 years",219,3025248,7.24,"Australia2007",NA,"851,962,785,585",43171,"Boomers"
"79","Australia",2007,"female","55-74 years",118,1911478,6.17,"Australia2007",NA,"851,962,785,585",43171,"Silent"
"80","Australia",2007,"female","25-34 years",90,1460752,6.16,"Australia2007",NA,"851,962,785,585",43171,"Generation X"
"81","Australia",2007,"female","15-24 years",66,1440419,4.58,"Australia2007",NA,"851,962,785,585",43171,"Millenials"
"82","Australia",2007,"female","75+ years",33,770691,4.28,"Australia2007",NA,"851,962,785,585",43171,"Silent"
"83","Australia",2007,"male","5-14 years",8,1408182,0.57,"Australia2007",NA,"851,962,785,585",43171,"Generation Z"
"84","Australia",2007,"female","5-14 years",4,1337384,0.3,"Australia2007",NA,"851,962,785,585",43171,"Generation Z"
"85","Australia",2008,"male","35-54 years",765,3015761,25.37,"Australia2008",NA,"1,052,584,601,611",52315,"Boomers"
"86","Australia",2008,"male","25-34 years",354,1512033,23.41,"Australia2008",NA,"1,052,584,601,611",52315,"Generation X"
"87","Australia",2008,"male","75+ years",121,552931,21.88,"Australia2008",NA,"1,052,584,601,611",52315,"Silent"
"88","Australia",2008,"male","55-74 years",357,1935161,18.45,"Australia2008",NA,"1,052,584,601,611",52315,"Silent"
"89","Australia",2008,"male","15-24 years",228,1560974,14.61,"Australia2008",NA,"1,052,584,601,611",52315,"Millenials"
"90","Australia",2008,"female","35-54 years",231,3066609,7.53,"Australia2008",NA,"1,052,584,601,611",52315,"Boomers"
"91","Australia",2008,"female","25-34 years",90,1494968,6.02,"Australia2008",NA,"1,052,584,601,611",52315,"Generation X"
"92","Australia",2008,"female","55-74 years",97,1974752,4.91,"Australia2008",NA,"1,052,584,601,611",52315,"Silent"
"93","Australia",2008,"female","15-24 years",60,1473105,4.07,"Australia2008",NA,"1,052,584,601,611",52315,"Millenials"
"94","Australia",2008,"female","75+ years",27,781742,3.45,"Australia2008",NA,"1,052,584,601,611",52315,"Silent"
"95","Australia",2008,"male","5-14 years",8,1411650,0.57,"Australia2008",NA,"1,052,584,601,611",52315,"Generation Z"
"96","Australia",2008,"female","5-14 years",3,1340626,0.22,"Australia2008",NA,"1,052,584,601,611",52315,"Generation Z"
"97","Australia",2009,"male","35-54 years",755,3051649,24.74,"Australia2009",NA,"926,448,240,318",45128,"Boomers"
"98","Australia",2009,"male","75+ years",135,566784,23.82,"Australia2009",NA,"926,448,240,318",45128,"Silent"
"99","Australia",2009,"male","25-34 years",336,1567118,21.44,"Australia2009",NA,"926,448,240,318",45128,"Generation X"
"100","Australia",2009,"male","55-74 years",349,1991883,17.52,"Australia2009",NA,"926,448,240,318",45128,"Silent"
"101","Australia",2009,"male","15-24 years",210,1605456,13.08,"Australia2009",NA,"926,448,240,318",45128,"Millenials"
"102","Australia",2009,"female","35-54 years",221,3104929,7.12,"Australia2009",NA,"926,448,240,318",45128,"Boomers"
"103","Australia",2009,"female","25-34 years",103,1541393,6.68,"Australia2009",NA,"926,448,240,318",45128,"Generation X"
"104","Australia",2009,"female","55-74 years",116,2037989,5.69,"Australia2009",NA,"926,448,240,318",45128,"Silent"
"105","Australia",2009,"female","75+ years",43,792218,5.43,"Australia2009",NA,"926,448,240,318",45128,"Silent"
"106","Australia",2009,"female","15-24 years",66,1506719,4.38,"Australia2009",NA,"926,448,240,318",45128,"Millenials"
"107","Australia",2009,"female","5-14 years",3,1345910,0.22,"Australia2009",NA,"926,448,240,318",45128,"Generation Z"
"108","Australia",2009,"male","5-14 years",0,1417269,0,"Australia2009",NA,"926,448,240,318",45128,"Generation Z"
"109","Australia",2010,"male","35-54 years",816,3076853,26.52,"Australia2010",0.927,"1,144,260,547,873",54887,"Generation X"
"110","Australia",2010,"male","75+ years",151,582009,25.94,"Australia2010",0.927,"1,144,260,547,873",54887,"Silent"
"111","Australia",2010,"male","25-34 years",311,1606526,19.36,"Australia2010",0.927,"1,144,260,547,873",54887,"Generation X"
"112","Australia",2010,"male","55-74 years",360,2051197,17.55,"Australia2010",0.927,"1,144,260,547,873",54887,"Silent"
"113","Australia",2010,"male","15-24 years",222,1618860,13.71,"Australia2010",0.927,"1,144,260,547,873",54887,"Millenials"
"114","Australia",2010,"female","35-54 years",228,3132534,7.28,"Australia2010",0.927,"1,144,260,547,873",54887,"Generation X"
"115","Australia",2010,"female","25-34 years",94,1579905,5.95,"Australia2010",0.927,"1,144,260,547,873",54887,"Generation X"
"116","Australia",2010,"female","75+ years",43,805401,5.34,"Australia2010",0.927,"1,144,260,547,873",54887,"Silent"
"117","Australia",2010,"female","15-24 years",80,1521652,5.26,"Australia2010",0.927,"1,144,260,547,873",54887,"Millenials"
"118","Australia",2010,"female","55-74 years",104,2103428,4.94,"Australia2010",0.927,"1,144,260,547,873",54887,"Silent"
"119","Australia",2010,"male","5-14 years",7,1420846,0.49,"Australia2010",0.927,"1,144,260,547,873",54887,"Generation Z"
"120","Australia",2010,"female","5-14 years",4,1348336,0.3,"Australia2010",0.927,"1,144,260,547,873",54887,"Generation Z"
"121","Austria",2000,"male","75+ years",172,172839,99.51,"Austria2000",0.836,"196,799,778,883",25922,"G.I. Generation"
"122","Austria",2000,"male","55-74 years",342,730447,46.82,"Austria2000",0.836,"196,799,778,883",25922,"Silent"
"123","Austria",2000,"male","35-54 years",383,1163122,32.93,"Austria2000",0.836,"196,799,778,883",25922,"Boomers"
"124","Austria",2000,"male","25-34 years",149,622975,23.92,"Austria2000",0.836,"196,799,778,883",25922,"Generation X"
"125","Austria",2000,"female","75+ years",92,394864,23.3,"Austria2000",0.836,"196,799,778,883",25922,"G.I. Generation"
"126","Austria",2000,"male","15-24 years",106,485710,21.82,"Austria2000",0.836,"196,799,778,883",25922,"Generation X"
"127","Austria",2000,"female","55-74 years",143,840225,17.02,"Austria2000",0.836,"196,799,778,883",25922,"Silent"
"128","Austria",2000,"female","35-54 years",132,1149412,11.48,"Austria2000",0.836,"196,799,778,883",25922,"Boomers"
"129","Austria",2000,"female","15-24 years",27,469025,5.76,"Austria2000",0.836,"196,799,778,883",25922,"Generation X"
"130","Austria",2000,"female","25-34 years",34,617481,5.51,"Austria2000",0.836,"196,799,778,883",25922,"Generation X"
"131","Austria",2000,"female","5-14 years",4,461175,0.87,"Austria2000",0.836,"196,799,778,883",25922,"Millenials"
"132","Austria",2000,"male","5-14 years",4,484798,0.83,"Austria2000",0.836,"196,799,778,883",25922,"Millenials"
"133","Austria",2001,"male","75+ years",151,180006,83.89,"Austria2001",NA,"197,337,879,195",25848,"Silent"
"134","Austria",2001,"male","55-74 years",309,735296,42.02,"Austria2001",NA,"197,337,879,195",25848,"Silent"
"135","Austria",2001,"male","35-54 years",377,1193029,31.6,"Austria2001",NA,"197,337,879,195",25848,"Boomers"
"136","Austria",2001,"male","25-34 years",142,604064,23.51,"Austria2001",NA,"197,337,879,195",25848,"Generation X"
"137","Austria",2001,"female","75+ years",93,404458,22.99,"Austria2001",NA,"197,337,879,195",25848,"Silent"
"138","Austria",2001,"male","15-24 years",101,488478,20.68,"Austria2001",NA,"197,337,879,195",25848,"Millenials"
"139","Austria",2001,"female","55-74 years",129,835836,15.43,"Austria2001",NA,"197,337,879,195",25848,"Silent"
"140","Austria",2001,"female","35-54 years",126,1177652,10.7,"Austria2001",NA,"197,337,879,195",25848,"Boomers"
"141","Austria",2001,"female","25-34 years",41,600540,6.83,"Austria2001",NA,"197,337,879,195",25848,"Generation X"
"142","Austria",2001,"female","15-24 years",18,470456,3.83,"Austria2001",NA,"197,337,879,195",25848,"Millenials"
"143","Austria",2001,"female","5-14 years",1,460720,0.22,"Austria2001",NA,"197,337,879,195",25848,"Millenials"
"144","Austria",2001,"male","5-14 years",1,484025,0.21,"Austria2001",NA,"197,337,879,195",25848,"Millenials"
"145","Austria",2002,"male","75+ years",187,187295,99.84,"Austria2002",NA,"213,377,771,504",27772,"Silent"
"146","Austria",2002,"male","55-74 years",322,747406,43.08,"Austria2002",NA,"213,377,771,504",27772,"Silent"
"147","Austria",2002,"male","35-54 years",422,1214866,34.74,"Austria2002",NA,"213,377,771,504",27772,"Boomers"
"148","Austria",2002,"male","25-34 years",158,586771,26.93,"Austria2002",NA,"213,377,771,504",27772,"Generation X"
"149","Austria",2002,"male","15-24 years",99,494122,20.04,"Austria2002",NA,"213,377,771,504",27772,"Millenials"
"150","Austria",2002,"female","75+ years",80,410636,19.48,"Austria2002",NA,"213,377,771,504",27772,"Silent"
"151","Austria",2002,"female","55-74 years",105,841432,12.48,"Austria2002",NA,"213,377,771,504",27772,"Silent"
"152","Austria",2002,"female","35-54 years",129,1197653,10.77,"Austria2002",NA,"213,377,771,504",27772,"Boomers"
"153","Austria",2002,"female","25-34 years",30,583877,5.14,"Austria2002",NA,"213,377,771,504",27772,"Generation X"
"154","Austria",2002,"female","15-24 years",17,475095,3.58,"Austria2002",NA,"213,377,771,504",27772,"Millenials"
"155","Austria",2002,"female","5-14 years",2,460277,0.43,"Austria2002",NA,"213,377,771,504",27772,"Millenials"
"156","Austria",2002,"male","5-14 years",2,483732,0.41,"Austria2002",NA,"213,377,771,504",27772,"Millenials"
"157","Austria",2003,"male","75+ years",177,193846,91.31,"Austria2003",NA,"261,695,778,781",33889,"Silent"
"158","Austria",2003,"male","55-74 years",308,759680,40.54,"Austria2003",NA,"261,695,778,781",33889,"Silent"
"159","Austria",2003,"male","35-54 years",371,1231545,30.12,"Austria2003",NA,"261,695,778,781",33889,"Boomers"
"160","Austria",2003,"male","25-34 years",118,569434,20.72,"Austria2003",NA,"261,695,778,781",33889,"Generation X"
"161","Austria",2003,"female","75+ years",84,412619,20.36,"Austria2003",NA,"261,695,778,781",33889,"Silent"
"162","Austria",2003,"male","15-24 years",91,501938,18.13,"Austria2003",NA,"261,695,778,781",33889,"Millenials"
"163","Austria",2003,"female","55-74 years",102,851030,11.99,"Austria2003",NA,"261,695,778,781",33889,"Silent"
"164","Austria",2003,"female","35-54 years",141,1213566,11.62,"Austria2003",NA,"261,695,778,781",33889,"Boomers"
"165","Austria",2003,"female","15-24 years",29,482866,6.01,"Austria2003",NA,"261,695,778,781",33889,"Millenials"
"166","Austria",2003,"female","25-34 years",32,567665,5.64,"Austria2003",NA,"261,695,778,781",33889,"Generation X"
"167","Austria",2003,"male","5-14 years",3,480502,0.62,"Austria2003",NA,"261,695,778,781",33889,"Millenials"
"168","Austria",2003,"female","5-14 years",0,457342,0,"Austria2003",NA,"261,695,778,781",33889,"Millenials"
"169","Austria",2004,"male","75+ years",189,201792,93.66,"Austria2004",NA,"300,904,221,505",38711,"Silent"
"170","Austria",2004,"male","55-74 years",308,771847,39.9,"Austria2004",NA,"300,904,221,505",38711,"Silent"
"171","Austria",2004,"male","35-54 years",347,1248808,27.79,"Austria2004",NA,"300,904,221,505",38711,"Boomers"
"172","Austria",2004,"male","15-24 years",110,509514,21.59,"Austria2004",NA,"300,904,221,505",38711,"Millenials"
"173","Austria",2004,"male","25-34 years",120,555892,21.59,"Austria2004",NA,"300,904,221,505",38711,"Generation X"
"174","Austria",2004,"female","75+ years",73,416777,17.52,"Austria2004",NA,"300,904,221,505",38711,"Silent"
"175","Austria",2004,"female","55-74 years",118,860913,13.71,"Austria2004",NA,"300,904,221,505",38711,"Silent"
"176","Austria",2004,"female","35-54 years",107,1231774,8.69,"Austria2004",NA,"300,904,221,505",38711,"Boomers"
"177","Austria",2004,"female","25-34 years",26,554568,4.69,"Austria2004",NA,"300,904,221,505",38711,"Generation X"
"178","Austria",2004,"female","15-24 years",22,491309,4.48,"Austria2004",NA,"300,904,221,505",38711,"Millenials"
"179","Austria",2004,"male","5-14 years",2,476337,0.42,"Austria2004",NA,"300,904,221,505",38711,"Millenials"
"180","Austria",2004,"female","5-14 years",0,453574,0,"Austria2004",NA,"300,904,221,505",38711,"Millenials"
"181","Austria",2005,"male","75+ years",166,210054,79.03,"Austria2005",0.853,"315,974,418,605",40367,"Silent"
"182","Austria",2005,"male","55-74 years",331,782050,42.32,"Austria2005",0.853,"315,974,418,605",40367,"Silent"
"183","Austria",2005,"male","35-54 years",364,1266464,28.74,"Austria2005",0.853,"315,974,418,605",40367,"Boomers"
"184","Austria",2005,"female","75+ years",81,421281,19.23,"Austria2005",0.853,"315,974,418,605",40367,"Silent"
"185","Austria",2005,"male","25-34 years",102,548943,18.58,"Austria2005",0.853,"315,974,418,605",40367,"Generation X"
"186","Austria",2005,"male","15-24 years",83,515674,16.1,"Austria2005",0.853,"315,974,418,605",40367,"Millenials"
"187","Austria",2005,"female","55-74 years",96,869065,11.05,"Austria2005",0.853,"315,974,418,605",40367,"Silent"
"188","Austria",2005,"female","35-54 years",121,1250028,9.68,"Austria2005",0.853,"315,974,418,605",40367,"Boomers"
"189","Austria",2005,"female","25-34 years",33,546238,6.04,"Austria2005",0.853,"315,974,418,605",40367,"Generation X"
"190","Austria",2005,"female","15-24 years",18,497688,3.62,"Austria2005",0.853,"315,974,418,605",40367,"Millenials"
"191","Austria",2005,"male","5-14 years",3,471447,0.64,"Austria2005",0.853,"315,974,418,605",40367,"Millenials"
"192","Austria",2005,"female","5-14 years",1,448529,0.22,"Austria2005",0.853,"315,974,418,605",40367,"Millenials"
"193","Austria",2006,"male","75+ years",171,218168,78.38,"Austria2006",NA,"335,998,557,270",42698,"Silent"
"194","Austria",2006,"male","55-74 years",266,791509,33.61,"Austria2006",NA,"335,998,557,270",42698,"Silent"
"195","Austria",2006,"male","35-54 years",382,1281251,29.81,"Austria2006",NA,"335,998,557,270",42698,"Boomers"
"196","Austria",2006,"female","75+ years",81,425747,19.03,"Austria2006",NA,"335,998,557,270",42698,"Silent"
"197","Austria",2006,"male","25-34 years",103,545467,18.88,"Austria2006",NA,"335,998,557,270",42698,"Generation X"
"198","Austria",2006,"male","15-24 years",77,517546,14.88,"Austria2006",NA,"335,998,557,270",42698,"Millenials"
"199","Austria",2006,"female","55-74 years",91,876832,10.38,"Austria2006",NA,"335,998,557,270",42698,"Silent"
"200","Austria",2006,"female","35-54 years",91,1265873,7.19,"Austria2006",NA,"335,998,557,270",42698,"Boomers"
"201","Austria",2006,"female","25-34 years",18,542011,3.32,"Austria2006",NA,"335,998,557,270",42698,"Generation X"
"202","Austria",2006,"female","15-24 years",16,499388,3.2,"Austria2006",NA,"335,998,557,270",42698,"Millenials"
"203","Austria",2006,"male","5-14 years",1,464213,0.22,"Austria2006",NA,"335,998,557,270",42698,"Millenials"
"204","Austria",2006,"female","5-14 years",0,441264,0,"Austria2006",NA,"335,998,557,270",42698,"Millenials"
"205","Austria",2007,"male","75+ years",170,225285,75.46,"Austria2007",NA,"388,691,445,387",49218,"Silent"
"206","Austria",2007,"male","55-74 years",273,800509,34.1,"Austria2007",NA,"388,691,445,387",49218,"Silent"
"207","Austria",2007,"male","35-54 years",331,1291260,25.63,"Austria2007",NA,"388,691,445,387",49218,"Boomers"
"208","Austria",2007,"female","75+ years",80,428921,18.65,"Austria2007",NA,"388,691,445,387",49218,"Silent"
"209","Austria",2007,"male","25-34 years",99,542760,18.24,"Austria2007",NA,"388,691,445,387",49218,"Generation X"
"210","Austria",2007,"male","15-24 years",93,517817,17.96,"Austria2007",NA,"388,691,445,387",49218,"Millenials"
"211","Austria",2007,"female","55-74 years",109,885212,12.31,"Austria2007",NA,"388,691,445,387",49218,"Silent"
"212","Austria",2007,"female","35-54 years",88,1277479,6.89,"Austria2007",NA,"388,691,445,387",49218,"Boomers"
"213","Austria",2007,"female","25-34 years",25,539763,4.63,"Austria2007",NA,"388,691,445,387",49218,"Generation X"
"214","Austria",2007,"female","15-24 years",15,499804,3,"Austria2007",NA,"388,691,445,387",49218,"Millenials"
"215","Austria",2007,"male","5-14 years",2,455269,0.44,"Austria2007",NA,"388,691,445,387",49218,"Generation Z"
"216","Austria",2007,"female","5-14 years",0,433193,0,"Austria2007",NA,"388,691,445,387",49218,"Generation Z"
"217","Austria",2008,"male","75+ years",200,231083,86.55,"Austria2008",NA,"430,294,287,388",54294,"Silent"
"218","Austria",2008,"male","55-74 years",276,811538,34.01,"Austria2008",NA,"430,294,287,388",54294,"Silent"
"219","Austria",2008,"male","35-54 years",340,1295943,26.24,"Austria2008",NA,"430,294,287,388",54294,"Boomers"
"220","Austria",2008,"female","75+ years",72,430534,16.72,"Austria2008",NA,"430,294,287,388",54294,"Silent"
"221","Austria",2008,"male","25-34 years",86,542606,15.85,"Austria2008",NA,"430,294,287,388",54294,"Generation X"
"222","Austria",2008,"male","15-24 years",59,519137,11.37,"Austria2008",NA,"430,294,287,388",54294,"Millenials"
"223","Austria",2008,"female","55-74 years",82,895882,9.15,"Austria2008",NA,"430,294,287,388",54294,"Silent"
"224","Austria",2008,"female","35-54 years",112,1285210,8.71,"Austria2008",NA,"430,294,287,388",54294,"Boomers"
"225","Austria",2008,"female","15-24 years",18,500763,3.59,"Austria2008",NA,"430,294,287,388",54294,"Millenials"
"226","Austria",2008,"female","25-34 years",18,539635,3.34,"Austria2008",NA,"430,294,287,388",54294,"Generation X"
"227","Austria",2008,"female","5-14 years",2,425776,0.47,"Austria2008",NA,"430,294,287,388",54294,"Generation Z"
"228","Austria",2008,"male","5-14 years",2,447151,0.45,"Austria2008",NA,"430,294,287,388",54294,"Generation Z"
"229","Austria",2009,"male","75+ years",187,235822,79.3,"Austria2009",NA,"400,172,297,861",50356,"Silent"
"230","Austria",2009,"male","55-74 years",279,823727,33.87,"Austria2009",NA,"400,172,297,861",50356,"Silent"
"231","Austria",2009,"male","35-54 years",332,1297322,25.59,"Austria2009",NA,"400,172,297,861",50356,"Boomers"
"232","Austria",2009,"male","25-34 years",99,542799,18.24,"Austria2009",NA,"400,172,297,861",50356,"Generation X"
"233","Austria",2009,"female","75+ years",68,430726,15.79,"Austria2009",NA,"400,172,297,861",50356,"Silent"
"234","Austria",2009,"male","15-24 years",72,519901,13.85,"Austria2009",NA,"400,172,297,861",50356,"Millenials"
"235","Austria",2009,"female","55-74 years",103,908213,11.34,"Austria2009",NA,"400,172,297,861",50356,"Silent"
"236","Austria",2009,"female","35-54 years",101,1289816,7.83,"Austria2009",NA,"400,172,297,861",50356,"Boomers"
"237","Austria",2009,"female","25-34 years",18,539304,3.34,"Austria2009",NA,"400,172,297,861",50356,"Generation X"
"238","Austria",2009,"female","15-24 years",11,501225,2.19,"Austria2009",NA,"400,172,297,861",50356,"Millenials"
"239","Austria",2009,"female","5-14 years",5,418410,1.2,"Austria2009",NA,"400,172,297,861",50356,"Generation Z"
"240","Austria",2009,"male","5-14 years",3,439629,0.68,"Austria2009",NA,"400,172,297,861",50356,"Generation Z"
"241","Austria",2010,"male","75+ years",180,240431,74.87,"Austria2010",0.879,"391,892,746,545",49181,"Silent"
